"cell","mean_prob"
75,0.1426
76,0.510991304347826
120,0.334423076923077
178,0.141085714285714
195,0.516180952380952
196,0.515785714285714
203,0.493436363636364
252,0.633135714285714
331,0.334992307692308
490,0.383971428571429
491,0.61882962962963
527,0.618166666666667
528,0.626833333333333
529,0.496009090909091
530,0.496077272727273
531,0.2829
532,0.335753846153846
533,0.076625
534,0.2601
535,0.26147
591,0.613088
601,0.384592857142857
602,0.384928571428571
613,0.516242857142857
692,0.51235652173913
693,0.483426315789474
694,0.142042857142857
695,0.617881481481481
702,0.285227272727273
708,0.514523809523809
709,0.516480952380952
717,0.516214285714286
718,0.285718181818182
746,0.077425
912,0.335923076923077
922,0.572121739130435
923,0.58118
924,0.582036
944,0.632546428571429
945,0.634139285714286
946,0.6078375
947,0.615596153846154
948,0.517157142857143
949,0.52392380952381
950,0.4496
951,0.335607692307692
952,0.141914285714286
953,0.075225
954,0.142628571428571
955,0.140942857142857
956,0.140714285714286
957,0.285063636363636
958,0.558813636363636
974,0.58284
1010,0.516940909090909
1012,0.142185714285714
1023,0.16762
1024,0.1402
1034,0.526104761904762
1035,0.515095238095238
1074,0.582392
1075,0.613008
1076,0.497913636363636
1114,0.583508333333333
1115,0.61292
1116,0.506630434782609
1117,0.51785
1118,0.26049
1119,0.25915
1130,0.145128571428571
1135,0.518
1146,0.495159090909091
1172,0.553636363636364
1173,0.07815
1174,0.513861904761905
1341,0.336561538461538
1350,0.61314
1351,0.617792592592593
1352,0.584164
1353,0.614976923076923
1354,0.618351851851852
1355,0.632689285714286
1371,0.633160714285714
1372,0.617714814814815
1373,0.515295238095238
1374,0.51603
1375,0.455431578947368
1376,0.450266666666667
1377,0.336207692307692
1378,0.337076923076923
1379,0.261
1380,0.142714285714286
1381,0.1691
1382,0.16976
1383,0.078225
1384,0.16858
1385,0.140685714285714
1386,0.4962
1387,0.633517857142857
1401,0.58042
1402,0.582916
1403,0.381092857142857
1404,0.516209523809524
1405,0.516480952380952
1431,0.619066666666667
1432,0.631892857142857
1433,0.6337
1434,0.627092592592593
1435,0.566863636363636
1436,0.383635714285714
1437,0.3347
1438,0.1913625
1439,0.144914285714286
1454,0.141185714285714
1455,0.140871428571429
1462,0.578179166666667
1463,0.581236
1464,0.612128
1471,0.612036
1472,0.633282142857143
1479,0.608816666666667
1480,0.287
1481,0.26111
1482,0.482831578947368
1492,0.625544444444444
1503,0.631667857142857
1504,0.480121052631579
1505,0.19175
1538,0.632289285714286
1539,0.639392857142857
1544,0.568272727272727
1545,0.584788
1546,0.61328
1547,0.614216
1548,0.306908333333333
1549,0.334946153846154
1551,0.142828571428571
1562,0.16892
1563,0.075925
1569,0.16882
1579,0.567590909090909
1605,0.58332
1606,0.515461904761905
1607,0.43079375
1777,0.142471428571429
1778,0.635153571428571
1787,0.633928571428571
1788,0.624762962962963
1789,0.58216
1790,0.582244
1791,0.624014814814815
1792,0.640742857142857
1806,0.5847375
1807,0.511434782608696
1808,0.4975
1809,0.42176
1810,0.429925
1811,0.335230769230769
1812,0.335730769230769
1813,0.334192307692308
1814,0.142728571428571
1815,0.076275
1820,0.1451
1821,0.444970588235294
1822,0.613608
1835,0.617540740740741
1836,0.582544
1837,0.4559
1838,0.382528571428571
1839,0.335715384615385
1840,0.335561538461538
1841,0.516385714285714
1864,0.633778571428571
1865,0.582856
1866,0.580812
1867,0.614615384615385
1868,0.632228571428571
1869,0.480921052631579
1870,0.516178260869565
1871,0.192775
1872,0.1914125
1873,0.16686
1874,0.143871428571429
1875,0.16894
1892,0.446594117647059
1898,0.625207407407407
1913,0.627475
1914,0.515495238095238
1915,0.1675
1916,0.142985714285714
1917,0.455142105263158
1929,0.58575
1930,0.634060714285714
1931,0.633242857142857
1932,0.610670833333333
1976,0.580908
1977,0.582304
1978,0.143442857142857
1979,0.284581818181818
1980,0.381992857142857
1981,0.581728
1982,0.582812
1983,0.525785714285714
1984,0.516847619047619
1985,0.577395833333333
1986,0.26001
1987,0.26124
2001,0.141228571428571
2002,0.1894625
2003,0.383664285714286
2004,0.513809523809524
2010,0.512813043478261
2018,0.1936375
2036,0.624274074074074
2045,0.560922727272727
2218,0.16828
2219,0.567972727272727
2227,0.633503571428571
2228,0.611204
2246,0.633971428571429
2247,0.457863157894737
2248,0.455368421052632
2249,0.38315
2250,0.381278571428571
2251,0.425326666666667
2252,0.1432
2253,0.1427
2254,0.286
2260,0.1676
2261,0.287536363636364
2262,0.455763157894737
2263,0.633721428571429
2275,0.5826
2276,0.583016
2277,0.494563636363636
2278,0.499482608695652
2279,0.495677272727273
2280,0.453763157894737
2281,0.382521428571429
2282,0.483552631578947
2305,0.560363636363636
2306,0.503813043478261
2307,0.383742857142857
2308,0.553131818181818
2309,0.570917391304348
2310,0.516104347826087
2311,0.337353846153846
2312,0.144542857142857
2334,0.142985714285714
2353,0.638035714285714
2354,0.512169565217391
2355,0.073525
2356,0.075125
2357,0.075775
2358,0.445076470588235
2420,0.583184
2421,0.480721052631579
2422,0.57224347826087
2423,0.582516
2424,0.514619047619048
2425,0.572095652173913
2426,0.140171428571429
2427,0.381871428571429
2428,0.19335
2441,0.077675
2442,0.0771
2447,0.335215384615385
2448,0.639532142857143
2461,0.17102
2476,0.515947619047619
2477,0.581684
2478,0.382985714285714
2479,0.517609523809524
2480,0.6377
2495,0.285818181818182
2667,0.582556
2668,0.632410714285714
2675,0.633171428571429
2685,0.609304166666667
2686,0.611616666666667
2687,0.611712
2694,0.515780952380952
2695,0.424066666666667
2696,0.495718181818182
2697,0.447376470588235
2698,0.43055
2699,0.382607142857143
2700,0.384014285714286
2701,0.143685714285714
2702,0.1907875
2707,0.16792
2708,0.336315384615385
2709,0.383414285714286
2710,0.6080125
2716,0.608770833333333
2723,0.638535714285714
2724,0.509786956521739
2725,0.517159090909091
2726,0.516068181818182
2727,0.516927272727273
2728,0.516817391304348
2729,0.516473913043478
2730,0.567231818181818
2752,0.61154
2753,0.497281818181818
2754,0.336430769230769
2755,0.517530434782609
2756,0.503834782608696
2757,0.481789473684211
2758,0.4561
2759,0.335884615384615
2760,0.143728571428571
2783,0.140428571428571
2784,0.51349
2801,0.614976923076923
2802,0.516204761904762
2803,0.075775
2804,0.1929
2805,0.1927
2871,0.560581818181818
2872,0.516004761904762
2873,0.075175
2874,0.07675
2875,0.1416
2876,0.07785
2889,0.076975
2896,0.153516666666667
2897,0.382685714285714
2898,0.624562962962963
2905,0.6342
2911,0.515626086956522
2925,0.633907142857143
2926,0.335115384615385
2927,0.43065625
2928,0.444376470588235
2929,0.611488
2930,0.612996
2945,0.609
2946,0.285490909090909
3123,0.517033333333333
3150,0.561136363636364
3151,0.504286956521739
3152,0.481584210526316
3153,0.482115789473684
3154,0.425053333333333
3155,0.336207692307692
3156,0.334338461538462
3157,0.142485714285714
3158,0.285863636363636
3159,0.1435
3162,0.17056
3163,0.287336363636364
3164,0.38365
3165,0.577879166666667
3171,0.632532142857143
3172,0.631292857142857
3179,0.6109875
3180,0.494645454545455
3181,0.481405263157895
3182,0.518268181818182
3183,0.481763157894737
3184,0.481821052631579
3185,0.482894736842105
3186,0.580095833333333
3208,0.516838095238095
3209,0.480668421052632
3210,0.517169565217391
3211,0.517286363636364
3212,0.512286956521739
3213,0.141885714285714
3214,0.143342857142857
3215,0.16918
3216,0.07785
3217,0.140871428571429
3232,0.381835714285714
3235,0.481815789473684
3236,0.480547368421053
3241,0.141571428571429
3247,0.60895
3248,0.583256
3253,0.141942857142857
3254,0.43041875
3255,0.16862
3271,0.639110714285714
3272,0.613888
3273,0.456563157894737
3274,0.415042857142857
3283,0.582544
3284,0.560163636363636
3288,0.143342857142857
3289,0.16752
3290,0.336184615384615
3291,0.230011111111111
3292,0.385542857142857
3293,0.306016666666667
3300,0.610125
3301,0.516238095238095
3302,0.497378260869565
3303,0.612956
3329,0.631692857142857
3330,0.423933333333333
3334,0.26015
3353,0.337069230769231
3354,0.4543
3355,0.52302380952381
3368,0.496604545454545
3374,0.628446428571429
3375,0.625166666666667
3376,0.577683333333333
3385,0.58236
3403,0.616826923076923
3404,0.515933333333333
3405,0.17136
3585,0.510204347826087
3586,0.607883333333333
3595,0.633253571428571
3598,0.581256
3599,0.611768
3600,0.515804761904762
3612,0.612888
3613,0.494963636363636
3614,0.335376923076923
3615,0.336115384615385
3616,0.286818181818182
3617,0.141128571428571
3618,0.143385714285714
3619,0.1429
3620,0.335523076923077
3621,0.142614285714286
3622,0.077525
3623,0.140571428571429
3624,0.335969230769231
3625,0.284981818181818
3626,0.511952173913043
3627,0.572078260869565
3632,0.625903703703704
3633,0.626107407407407
3634,0.632478571428571
3641,0.58176
3642,0.51304
3643,0.5666
3644,0.576729166666667
3645,0.5764625
3646,0.577941666666667
3647,0.58286
3648,0.572634782608696
3671,0.483584210526316
3672,0.512665217391304
3673,0.511404347826087
3693,0.384185714285714
3700,0.384714285714286
3701,0.383435714285714
3704,0.143357142857143
3709,0.624559259259259
3710,0.6095125
3711,0.580532
3714,0.452416666666667
3715,0.142557142857143
3716,0.16656
3717,0.079025
3718,0.43195625
3719,0.613568
3730,0.610244
3731,0.615719230769231
3732,0.482121052631579
3733,0.580608
3734,0.512121739130435
3735,0.143414285714286
3736,0.447047058823529
