"cell","mean_prob"
2,0.578330434782609
15,0.438725
17,0.0774333333333333
24,0.143057142857143
25,0.35015
37,0.558318181818182
43,0.631532142857143
45,0.441615
46,0.35045
60,0.17148
64,0.1535
65,0.34835
66,0.244790909090909
67,0.497352631578947
72,0.6084875
86,0.1376
87,0.496066666666667
98,0.626971428571429
99,0.142371428571429
101,0.1332375
103,0.1338375
104,0.140942857142857
109,0.142714285714286
118,0.16822
119,0.43865
120,0.350728571428571
128,0.349628571428571
132,0.544238095238095
133,0.565463636363636
134,0.576791304347826
137,0.151883333333333
141,0.0750333333333333
145,0.470005
148,0.504794736842105
156,0.43643
175,0.57805652173913
181,0.577639130434783
186,0.632146428571429
190,0.43856
191,0.577391304347826
207,0.135
215,0.492215
216,0.135225
217,0.414785
218,0.437715
220,0.307208333333333
225,0.497873684210526
226,0.348128571428571
235,0.0764
239,0.505621052631579
241,0.245118181818182
244,0.154533333333333
246,0.609616666666667
248,0.349292857142857
249,0.577873913043478
270,0.633141379310345
275,0.608295833333333
280,0.245190909090909
284,0.1332375
285,0.349985714285714
291,0.337123076923077
294,0.1429
295,0.1524
296,0.336146153846154
305,0.244581818181818
306,0.350914285714286
307,0.43912
308,0.433052631578947
311,0.456189473684211
317,0.142214285714286
318,0.578426086956522
324,0.4988
330,0.190575
332,0.565677272727273
344,0.546552380952381
349,0.0756
366,0.634865517241379
368,0.544133333333333
370,0.631589285714286
371,0.579591304347826
372,0.244281818181818
373,0.285781818181818
374,0.608483333333333
376,0.559536363636364
380,0.155033333333333
381,0.140542857142857
383,0.363446666666667
385,0.19265
386,0.0777666666666667
397,0.498975
398,0.336753846153846
399,0.348342857142857
409,0.334969230769231
412,0.578486956521739
417,0.141814285714286
424,0.1323
425,0.578017391304348
426,0.16818
427,0.352014285714286
428,0.43675
431,0.351021428571429
432,0.350035714285714
433,0.570834782608696
436,0.496226315789474
447,0.337046153846154
449,0.578847826086957
454,0.6324
459,0.571308695652174
461,0.634013793103448
463,0.44
464,0.21439
468,0.335438461538462
469,0.244390909090909
472,0.0780333333333333
473,0.0766333333333333
474,0.142628571428571
478,0.0753666666666667
479,0.179366666666667
489,0.632157142857143
490,0.406510526315789
491,0.307258333333333
492,0.241845454545455
499,0.285254545454545
500,0.350328571428571
502,0.153516666666667
503,0.349235714285714
510,0.141314285714286
511,0.078
512,0.0752
513,0.142985714285714
517,0.142585714285714
518,0.578378260869565
519,0.143114285714286
521,0.439015
524,0.439
548,0.577382608695652
549,0.633179310344828
556,0.60785
557,0.21485
560,0.621803846153846
561,0.497615789473684
562,0.142314285714286
565,0.610576
566,0.133025
569,0.21331
570,0.16852
571,0.153483333333333
572,0.578365217391304
575,0.608266666666667
584,0.13445
585,0.141342857142857
586,0.307825
593,0.284981818181818
595,0.567790909090909
596,0.432484210526316
603,0.143185714285714
607,0.0760333333333333
608,0.0771
613,0.21477
617,0.43905
619,0.154783333333333
620,0.191225
625,0.607954166666667
645,0.609495833333333
650,0.577065217391304
651,0.305575
653,0.622438461538461
655,0.2124
656,0.576704347826087
659,0.0766
660,0.576773913043478
661,0.578482608695652
662,0.496947368421053
663,0.1438
664,0.16656
665,0.142228571428571
666,0.498155
677,0.496131578947368
678,0.0770666666666667
686,0.439115
689,0.362633333333333
700,0.0746333333333333
702,0.0766666666666667
704,0.16778
707,0.152966666666667
714,0.151883333333333
733,0.43835
736,0.578304347826087
739,0.564136363636364
746,0.630317857142857
748,0.142385714285714
750,0.577913043478261
752,0.57905652173913
753,0.0757333333333333
754,0.498942105263158
755,0.5807
758,0.498510526315789
759,0.337946153846154
763,0.632114285714286
773,0.179911111111111
774,0.143142857142857
781,0.142571428571429
782,0.497642105263158
783,0.633632142857143
785,0.190575
786,0.5785
791,0.0765
793,0.0765
798,0.1336375
799,0.16658
800,0.16788
801,0.43988
804,0.434152631578947
823,0.1353
826,0.577882608695652
827,0.578013043478261
830,0.566563636363636
833,0.577869565217391
844,0.132525
846,0.15415
847,0.497731578947368
848,0.438005
849,0.496036842105263
850,0.439
851,0.180744444444444
852,0.50022
857,0.608479166666667
858,0.607545833333333
867,0.1539
868,0.337392307692308
869,0.1336
875,0.178288888888889
876,0.335461538461538
877,0.577126086956522
878,0.577147826086956
879,0.578934782608696
884,0.0792
887,0.078
889,0.1682
892,0.0773666666666667
893,0.1531
895,0.580082608695652
899,0.496531578947368
907,0.21566
917,0.578226086956522
919,0.577786956521739
928,0.577408695652174
929,0.15325
936,0.244690909090909
938,0.622538461538461
940,0.140542857142857
941,0.499
942,0.498578947368421
943,0.43892
944,0.36254
951,0.245209090909091
952,0.608766666666667
959,0.244636363636364
960,0.612264
961,0.506968421052632
962,0.4962
963,0.607320833333333
967,0.607658333333333
968,0.606508333333333
969,0.362546666666667
970,0.142
971,0.578404347826087
973,0.0759333333333333
975,0.0772333333333333
976,0.0765666666666667
982,0.1342125
985,0.3715625
986,0.1427
990,0.496647368421053
1000,0.0755333333333333
1009,0.16542
1013,0.4999
1014,0.577347826086957
1016,0.499010526315789
1022,0.634889655172414
1023,0.43861
1031,0.497147368421053
1033,0.144142857142857
1034,0.439445
1036,0.1421
1037,0.243636363636364
1044,0.439255
1045,0.244636363636364
1047,0.458031578947368
1053,0.576334782608696
1054,0.498684210526316
1059,0.497763157894737
1062,0.611392
1063,0.1423
1064,0.243681818181818
1067,0.0764333333333333
1068,0.0775666666666667
1073,0.0786333333333333
1075,0.0751666666666667
1076,0.1326375
1079,0.412935
1080,0.0741333333333333
1082,0.37165625
1105,0.612672
1108,0.498436842105263
1110,0.634762068965517
1115,0.1338625
1122,0.16702
1126,0.495889473684211
1128,0.0770333333333333
1129,0.241209090909091
1137,0.286190909090909
1138,0.349328571428571
1139,0.244381818181818
1144,0.620723076923077
1145,0.242872727272727
1151,0.283590909090909
1155,0.284763636363636
1157,0.154183333333333
1158,0.142671428571429
1159,0.0772
1169,0.577469565217391
1172,0.1335625
1173,0.0762
1175,0.349771428571429
1178,0.21472
1185,0.608370833333333
1197,0.1343125
1202,0.507731578947368
1203,0.5775
1204,0.5578
1207,0.618552
1208,0.2844
1214,0.6088
1217,0.242745454545455
1218,0.578252173913044
1220,0.284563636363636
1221,0.305008333333333
1229,0.43789
1230,0.179877777777778
1231,0.306691666666667
1236,0.1359375
1237,0.21407
1242,0.351078571428571
1246,0.1415
1248,0.154033333333333
1249,0.153533333333333
1250,0.187925
1260,0.141885714285714
1263,0.140371428571429
1266,0.37245625
1267,0.151583333333333
1289,0.43851
1291,0.288363636363636
1293,0.439145
1295,0.578547826086957
1297,0.578630434782609
1298,0.633651724137931
1301,0.43932
1302,0.575234782608696
1309,0.577795652173913
1310,0.559436363636364
1312,0.608683333333333
1314,0.577452173913043
1323,0.1332
1324,0.558722727272727
1328,0.21506
1339,0.336707692307692
1340,0.559009090909091
1341,0.57634347826087
1343,0.15335
1345,0.0753
1347,0.0779333333333333
1356,0.0777333333333333
1357,0.154533333333333
1358,0.17016
1361,0.0791333333333333
1366,0.348671428571429
1384,0.577439130434783
1385,0.134225
1386,0.632548275862069
1388,0.634272413793103
1392,0.43862
1393,0.576713043478261
1394,0.578339130434783
1397,0.634793103448276
1404,0.4984
1418,0.1327125
1419,0.578734782608696
1422,0.1342125
1434,0.506715789473684
1435,0.153633333333333
1437,0.350071428571429
1439,0.151333333333333
1443,0.152533333333333
1445,0.142042857142857
1447,0.140442857142857
1448,0.140057142857143
1460,0.35045
1462,0.616328
1463,0.456478947368421
1468,0.576908695652174
1481,0.438895
1482,0.437855
1484,0.576552173913043
1486,0.13205
1490,0.305791666666667
1491,0.579617391304348
1494,0.577078260869565
1502,0.140385714285714
1505,0.1674
1506,0.16598
1514,0.570765217391304
1515,0.576017391304348
1517,0.4975
1518,0.16758
1521,0.284890909090909
1530,0.491035
1531,0.2449
1534,0.179
